id,IdEstacion,Estacion,lon,lat,tipo,dailyreg,X,Y
179815623,G3,NUEVA CONCEPCION,-89.29,14.125,MET,TRUE,468687,333627
179815624,G4,LA PALMA,-89.16167,14.29167,MET,TRUE,482556,352053
179815693,G5,EL PARAISO,-89.071667,14.108333,MET,,492261,331765
179815768,G99,El Camalote-GEO,-88.923727,14.168895,HID,FALSE,508061,338455
179815694,H10,CASERIO EL JUNQUILLO,-89.856667,13.993333,MET,,407450,319206
179815770,H14,LA HACHADURA,-90.09,13.86,MET,TRUE,382175,304558
179815695,H15,SAN FRANCISCO MENENDEZ,-90.016667,13.845,MET,,390095,302864
179815696,H16,CANTON EL NISPERO,-89.915,13.87,MET,,401096,305585
179815697,H17,SAN PEDRO PUXTLA,-89.82,13.781667,MET,,411331,295776
179815698,H18,SAN JOSE EL NARANJO,-89.931667,13.76,MET,,399247,293423
179815699,H21,BENEFICIO BUENA VISTA,-89.775,13.913333,MET,,416244,310326
179815700,H23,"ATACO, BENEFICIO EL MOLINO",-89.84,13.875,MET,,409205,306109
179815701,H24,LA FINCONA,-89.93,13.846667,MET,,399464,303010
179815702,H25,LA FORTALEZA,-89.998333,13.828333,MET,,392069,301011
179815703,H4,"GUAYAPA, CASERIO EL CARMEN",-90,13.736667,MET,,391847,290872
179815704,H5,CARA SUCIA,-90.035,13.773333,MET,,388079,294944
179815609,H7,JUJUTLA,,,,,,
179815626,H8,AHUACHAPAN SM,-89.86,13.94333333,MET,TRUE,407070,313676
179815705,L14,HACIENDA AMAQUILCO,-89.251667,13.583333,MET,,472764,273698
179815706,L17,"JAYAQUE, BENEFICIO EL PARAISO",-89.433333,13.671667,MET,,453120,283498
179815627,L27,CHILTIUPAN,-89.47,13.59667,MET,TRUE,449138,275209
179815707,L29,FINCA LOS CEDROS,-89.391667,13.673333,MET,,457628,283675
179815708,L33,"ZARAGOZA, HDA. VERACRUZ",-89.296667,13.576667,MET,,467893,272966
179815709,L36,SAN DIEGO,-89.238333,13.46,MET,,474193,260053
179815710,L38,FINCA SAN AGUSTIN,-89.42,13.718333,MET,,454572,288658
179815628,L4,SAN ANDRES,-89.40666667,13.80833333,MET,TRUE,456031,298612
